"SITE_ID","YEAR","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"HVT424","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","23.594","2.045","0.124","0.101","0.224","0.136","0.038","0.457","0.058","0.041",""
"UVL124","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","3.6","3.053","2.194","1.654","3.822","1.495","0.406","0.093","0.073","0.065",""
"GTH161","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","0.102","0.428","0.116","0.179","0.292","0.164","0.109","0.023","0.016","0.021","0.014"
"GTH161","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.133","0.359","0.115","0.154","0.267","0.134","0.117","0.024","0.017","0.021","0.014"
"VIN140","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","10.308","4.745","2.303","2.06","4.33","1.9","0.76","0.093","0.09","0.092",""
"BVL130","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","4.231","3.385","2.194","1.534","3.704","1.515","0.538","0.072","0.098","0.075","0.072"
"SUM156","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.286","1.149","0.449","0.323","0.767","0.224","0.114","0.494","0.073","0.078","0.381"
"SHN418","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.981","1.846","0.597","0.752","1.338","0.742","0.125","0.076","0.024","0.039","0.038"
"BFT142","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.841","1.866","0.849","0.455","1.296","0.452","0.155","0.855","0.113","0.078","0.759"
"ROM406","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.407","0.599","0.229","0.516","0.737","0.235","","","","",""
"WNC429","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.381","0.537","0.255","0.455","0.702","0.215","0.306","0.024","0.026","0.033","0.016"
"SUM156","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.476","1.772","0.402","0.395","0.791","0.348","0.103","0.576","0.079","0.074","0.362"
"GTH161","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","0.177","0.46","0.135","0.26","0.391","0.181","0.108","0.017","0.015","0.024",""
"SUM156","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","1.3","2.902","0.492","0.782","1.261","0.673","0.126","0.565","0.08","0.072",""
"CDZ171","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.689","1.281","0.831","0.804","1.622","0.57","0.248","0.091","0.035","0.068","0.04"
