State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OH,2.9073780769072104,3.1275475485576902,3.359634218698732,3.6127855862421026,3.9005900212888647,4.295118912833675,4.242532829262797,4.151126139293848,4.221971267181332,4.2855148156306635
OK,5.557514540725405,6.203329956204536,6.848153271833659,7.225701233238565,8.66607510679403,10.97202751957211,10.556276052079836,12.440154468527588,15.915866535197939,17.267734142422142
OR,40.00297939632847,41.77066836228925,41.46440389167948,52.30099076706307,51.94034580217826,47.404261470003384,49.850952193923284,46.535255135988066,48.93347902655593,49.54651911250358
PA,3.7344242568134525,4.57495662822737,5.095693837222644,5.818048330133008,5.660766520198425,6.151406744484629,5.899603731542721,6.100855900735968,6.145057532882771,6.3228043375840395
RI,3.246191848497324,3.8080379366798223,3.672179112722957,3.714122810792203,3.268208356436935,3.0911548919235035,3.8569294897451165,4.1657648794884405,4.4382592996577275,5.194324759542151
SC,6.525717391105236,7.743856563335603,8.127385392329014,8.431246990613195,8.86398834506566,9.77427088866598,9.6553252879394,9.1100472358988,9.098844106979424,9.16960511618739
SD,23.20051141201196,29.22765918185799,34.52176161428541,41.088151398648456,37.430172047578594,33.08346761694202,35.56135955794822,34.817899802777696,37.58600251186084,36.66003439086097
TN,6.5701484420870955,9.218561675203258,7.894607108357484,8.798151918715686,8.810954574418965,10.724150786823484,8.970614839893521,9.159147037345555,7.822388331929557,8.739539616216103
TX,3.11684942654232,3.2427095285594203,3.9312609955072424,4.433099995233667,4.470193901763618,4.5688613382928995,4.962419724390462,5.212457709384681,6.24891519669568,6.808837898827195
UT,2.316688280236864,2.7436847423374875,3.0050145157033517,3.930834402371191,3.5417079891199297,3.001156829614838,3.7097632980784376,4.205385302808154,5.856145717087479,7.7430084858191774
VT,19.691359711443873,21.823125083765724,22.312010560988426,21.734780519591645,22.225818633004263,26.24874725849323,25.307833563467096,29.476171553461437,28.484334684850722,30.45513306289841
VA,5.536704555146742,5.963683212901659,5.769679925067841,5.698349480283353,5.722258465070883,6.310319289346403,6.8854041845188325,7.134154584509543,7.177945047000517,7.136146564248904
WA,43.983176931161175,42.02017607061723,41.12392108628764,52.19224870033662,50.64142728008364,46.09214567449709,47.360066089864404,44.38387636483399,45.766413080898324,46.17466781928759
WV,4.326939180397563,7.2078016785446755,6.949797700170358,7.253969544247547,7.033886475790096,8.12820830189081,7.318390701603922,5.855742747000116,6.27988130813034,6.6436784968074685
WI,8.444021368612791,8.713262721568787,10.401910991797001,10.389325004531575,10.244857033077219,10.285110275923577,10.321960514386513,10.940184728669408,11.024295829019978,10.78676162361542
WY,4.174939958653662,6.684703179794018,8.477432644954556,11.064995761808246,10.047408498694587,10.13058406522725,10.411810556354444,10.301740515362642,11.551396922760944,11.064675023921307
